,x,y,w,h,score,match
75,124,1733,49,43,0.79581094,small_round.jpg
68,228,1812,48,40,0.8121965,03_18_2023 LG 282 copy.jpg
67,245,1776,48,40,0.88863736,03_18_2023 LG 282 copy.jpg
74,287,1670,49,43,0.8739227,small_round.jpg
65,309,1599,48,40,0.7999746,03_18_2023 LG 282 copy.jpg
39,320,1886,36,35,0.78970575,round_light.jpg
64,323,1562,48,40,0.796135,03_18_2023 LG 282 copy.jpg
63,339,1525,48,40,0.8370445,03_18_2023 LG 282 copy.jpg
62,353,1488,48,40,0.8837243,03_18_2023 LG 282 copy.jpg
15,357,1812,68,44,0.7828312,left_back_bent.jpg
66,373,1650,48,40,0.7930017,03_18_2023 LG 282 copy.jpg
61,379,1413,48,40,0.88701254,03_18_2023 LG 282 copy.jpg
14,393,1735,68,44,0.81356496,left_back_bent.jpg
60,397,1376,48,40,0.89087176,03_18_2023 LG 282 copy.jpg
33,443,1300,36,35,0.8465803,round_light.jpg
59,448,1253,48,40,0.8765775,03_18_2023 LG 282 copy.jpg
58,465,1212,48,40,0.84770864,03_18_2023 LG 282 copy.jpg
57,485,1167,48,40,0.8427691,03_18_2023 LG 282 copy.jpg
56,526,1082,48,40,0.91873753,03_18_2023 LG 282 copy.jpg
55,545,1039,48,40,0.8447734,03_18_2023 LG 282 copy.jpg
40,550,1905,36,35,0.7957591,round_light.jpg
10,562,1339,68,44,0.7852614,left_back_bent.jpg
54,565,994,48,40,0.88646305,03_18_2023 LG 282 copy.jpg
79,588,1900,64,44,0.7765408,left_angled.jpg
9,588,1294,68,44,0.752401,left_back_bent.jpg
53,590,947,48,40,0.89818233,03_18_2023 LG 282 copy.jpg
52,609,902,48,40,0.8475368,03_18_2023 LG 282 copy.jpg
51,633,862,48,40,0.8817344,03_18_2023 LG 282 copy.jpg
49,657,817,48,40,0.8917825,03_18_2023 LG 282 copy.jpg
47,714,727,48,40,0.8985369,03_18_2023 LG 282 copy.jpg
46,740,682,48,40,0.7578815,03_18_2023 LG 282 copy.jpg
3,758,915,68,44,0.77521014,left_back_bent.jpg
2,797,849,68,44,0.76999956,left_back_bent.jpg
30,813,604,36,35,0.80340755,round_light.jpg
45,833,566,48,40,0.8167393,03_18_2023 LG 282 copy.jpg
29,876,540,36,35,0.8267789,round_light.jpg
26,927,492,36,35,0.7890417,round_light.jpg
24,1011,433,36,35,0.84669536,round_light.jpg
22,1054,409,36,35,0.84103435,round_light.jpg
18,1150,383,44,44,0.81512773,12_20_2022 LG 282 copy 2.jpg
21,1195,384,36,35,0.8856181,round_light.jpg
43,1205,1839,38,60,0.7643525,middle round.jpg
16,1241,378,44,44,0.8726332,12_20_2022 LG 282 copy 2.jpg
17,1285,381,44,44,0.8593928,12_20_2022 LG 282 copy 2.jpg
19,1332,388,44,44,0.8476865,12_20_2022 LG 282 copy 2.jpg
23,1390,409,36,35,0.91126734,round_light.jpg
1,1396,603,68,44,0.7666362,left_back_bent.jpg
25,1492,463,36,35,0.88563555,round_light.jpg
27,1546,499,36,35,0.85839295,round_light.jpg
0,1568,428,68,44,0.7874333,left_back_bent.jpg
28,1584,531,36,35,0.910654,round_light.jpg
42,1604,1769,38,60,0.7840598,middle round.jpg
20,1647,588,46,53,0.8313664,right_small_weird.jpg
69,1684,629,49,43,0.8649694,small_round.jpg
70,1716,672,49,43,0.81422967,small_round.jpg
31,1754,724,36,35,0.843574,round_light.jpg
48,1776,765,48,40,0.7961861,03_18_2023 LG 282 copy.jpg
71,1834,841,49,43,0.78621036,small_round.jpg
72,1858,882,49,43,0.8213153,small_round.jpg
50,1889,817,48,40,0.7532923,03_18_2023 LG 282 copy.jpg
73,1902,962,49,43,0.7863513,small_round.jpg
5,1933,997,68,44,0.7751873,left_back_bent.jpg
76,1958,1042,64,44,0.8378857,left_angled.jpg
41,1975,1081,38,60,0.8686395,middle round.jpg
7,1987,1139,68,44,0.81214285,left_back_bent.jpg
4,2005,922,68,44,0.77214444,left_back_bent.jpg
6,2047,1019,68,44,0.77399963,left_back_bent.jpg
8,2047,1214,68,44,0.78483754,left_back_bent.jpg
32,2079,1293,36,35,0.7920557,round_light.jpg
77,2140,1395,64,44,0.7749365,left_angled.jpg
34,2151,1439,36,35,0.82110876,round_light.jpg
35,2167,1476,36,35,0.88196635,round_light.jpg
36,2189,1511,36,35,0.7741511,round_light.jpg
37,2202,1543,36,35,0.77409613,round_light.jpg
38,2219,1575,36,35,0.80262345,round_light.jpg
11,2251,1431,68,44,0.7723121,left_back_bent.jpg
13,2259,1638,68,44,0.819103,left_back_bent.jpg
12,2302,1556,68,44,0.79155093,left_back_bent.jpg
78,2342,1817,64,44,0.80362344,left_angled.jpg
44,2544,1875,38,60,0.80652094,middle round.jpg
