,x,y,w,h,score,match
64,49,1863,48,40,0.7946794,03_18_2023 LG 282 copy.jpg
83,72,1800,49,43,0.7752986,small_round.jpg
81,89,1751,49,43,0.81420946,small_round.jpg
79,105,1706,49,43,0.84871036,small_round.jpg
77,122,1667,49,43,0.84940827,small_round.jpg
63,131,1628,48,40,0.85901123,03_18_2023 LG 282 copy.jpg
39,144,1895,36,35,0.7553596,round_light.jpg
61,162,1554,48,40,0.84341145,03_18_2023 LG 282 copy.jpg
59,192,1484,48,40,0.86674345,03_18_2023 LG 282 copy.jpg
55,203,1354,48,40,0.79959834,03_18_2023 LG 282 copy.jpg
9,204,1852,68,44,0.7716602,left_back_bent.jpg
57,223,1414,48,40,0.8878473,03_18_2023 LG 282 copy.jpg
8,224,1805,68,44,0.8281058,left_back_bent.jpg
12,225,1281,46,53,0.7728342,right_small_weird.jpg
37,230,1652,36,35,0.75196517,round_light.jpg
7,236,1747,68,44,0.80660826,left_back_bent.jpg
54,271,1305,48,40,0.88670695,03_18_2023 LG 282 copy.jpg
36,298,1270,36,35,0.8522718,round_light.jpg
35,331,1198,36,35,0.8654866,round_light.jpg
33,366,1124,36,35,0.8167891,round_light.jpg
6,377,1266,68,44,0.77097785,left_back_bent.jpg
31,389,1082,36,35,0.83521426,round_light.jpg
30,409,1039,36,35,0.84538764,round_light.jpg
50,419,997,48,40,0.88496536,03_18_2023 LG 282 copy.jpg
48,461,912,48,40,0.8751177,03_18_2023 LG 282 copy.jpg
47,484,870,48,40,0.87276626,03_18_2023 LG 282 copy.jpg
25,515,831,36,35,0.8576598,round_light.jpg
46,528,783,48,40,0.8726781,03_18_2023 LG 282 copy.jpg
24,561,746,36,35,0.82114357,round_light.jpg
73,581,690,49,43,0.82900536,small_round.jpg
5,586,891,68,44,0.83409905,left_back_bent.jpg
44,601,649,48,40,0.8484225,03_18_2023 LG 282 copy.jpg
42,627,608,48,40,0.8407703,03_18_2023 LG 282 copy.jpg
71,658,560,49,43,0.8070168,small_round.jpg
70,687,519,49,43,0.8476576,small_round.jpg
22,757,435,36,35,0.8428413,round_light.jpg
21,791,398,36,35,0.80374867,round_light.jpg
11,822,352,44,44,0.8152375,12_20_2022 LG 282 copy 2.jpg
20,854,325,36,35,0.8216436,round_light.jpg
19,891,294,36,35,0.8577038,round_light.jpg
18,940,248,36,35,0.8296842,round_light.jpg
2,941,292,68,44,0.8299741,left_back_bent.jpg
15,981,219,36,35,0.83472925,round_light.jpg
40,1017,225,38,60,0.75252324,middle round.jpg
86,1071,156,38,64,0.9078695,12_20_2022 LG 282 copy.jpg
84,1174,133,38,64,0.8401574,12_20_2022 LG 282 copy.jpg
85,1268,133,38,64,0.9512792,12_20_2022 LG 282 copy.jpg
65,1362,127,49,43,0.787567,small_round.jpg
87,1418,164,38,64,0.92094445,12_20_2022 LG 282 copy.jpg
16,1431,231,36,35,0.85158706,round_light.jpg
14,1461,208,36,35,0.82999814,round_light.jpg
13,1501,111,36,35,0.77141327,round_light.jpg
17,1518,241,36,35,0.88755536,round_light.jpg
88,1565,198,38,64,0.7859959,12_20_2022 LG 282 copy.jpg
66,1600,303,49,43,0.8542309,small_round.jpg
0,1617,168,68,44,0.77354616,left_back_bent.jpg
67,1633,339,49,43,0.8567589,small_round.jpg
68,1670,380,49,43,0.829685,small_round.jpg
1,1688,219,68,44,0.83536196,left_back_bent.jpg
4,1710,416,68,44,0.7633525,left_back_bent.jpg
69,1735,464,49,43,0.8434732,small_round.jpg
3,1738,315,68,44,0.832443,left_back_bent.jpg
28,1788,886,36,35,0.822217,round_light.jpg
23,1798,561,36,35,0.8933199,round_light.jpg
26,1802,843,36,35,0.7936423,round_light.jpg
43,1842,642,48,40,0.8971045,03_18_2023 LG 282 copy.jpg
72,1870,679,49,43,0.8736252,small_round.jpg
27,1879,853,36,35,0.7679726,round_light.jpg
45,1886,724,48,40,0.88032514,03_18_2023 LG 282 copy.jpg
29,1904,912,36,35,0.75276,round_light.jpg
74,1912,761,49,43,0.8894666,small_round.jpg
41,1968,992,38,60,0.84069496,middle round.jpg
75,1980,889,49,43,0.8984112,small_round.jpg
49,2018,975,48,40,0.92037374,03_18_2023 LG 282 copy.jpg
51,2078,1095,48,40,0.91506064,03_18_2023 LG 282 copy.jpg
34,2106,1130,36,35,0.899362,round_light.jpg
52,2132,1205,48,40,0.88726205,03_18_2023 LG 282 copy.jpg
53,2170,1279,48,40,0.8946243,03_18_2023 LG 282 copy.jpg
56,2214,1387,48,40,0.90069646,03_18_2023 LG 282 copy.jpg
32,2218,1115,36,35,0.78626066,round_light.jpg
58,2246,1460,48,40,0.9410316,03_18_2023 LG 282 copy.jpg
60,2279,1532,48,40,0.9205973,03_18_2023 LG 282 copy.jpg
62,2310,1604,48,40,0.89661056,03_18_2023 LG 282 copy.jpg
38,2337,1793,36,35,0.75108576,round_light.jpg
78,2347,1677,49,43,0.8527616,small_round.jpg
80,2362,1719,49,43,0.7731932,small_round.jpg
82,2385,1760,49,43,0.8075569,small_round.jpg
76,2421,1520,49,43,0.8078081,small_round.jpg
10,2427,1865,68,44,0.795799,left_back_bent.jpg
