,x,y,w,h,score,match
39,164,1909,36,35,0.76464695,round_light.jpg
6,271,1794,53,48,0.8005013,top_left.jpg
5,307,1706,53,48,0.808168,top_left.jpg
58,332,1443,48,40,0.750193,03_18_2023 LG 282 copy.jpg
4,335,1638,53,48,0.81116563,top_left.jpg
64,363,1570,48,40,0.8039433,03_18_2023 LG 282 copy.jpg
62,380,1533,48,40,0.8152149,03_18_2023 LG 282 copy.jpg
61,396,1497,48,40,0.8510089,03_18_2023 LG 282 copy.jpg
57,431,1423,48,40,0.8438924,03_18_2023 LG 282 copy.jpg
54,482,1314,48,40,0.86507446,03_18_2023 LG 282 copy.jpg
71,508,1272,49,43,0.7853302,small_round.jpg
2,518,1493,68,44,0.7657253,left_back_bent.jpg
34,530,1236,36,35,0.8147917,round_light.jpg
52,543,1195,48,40,0.8371802,03_18_2023 LG 282 copy.jpg
8,570,1157,44,44,0.8401656,12_20_2022 LG 282 copy 2.jpg
51,585,1112,48,40,0.81222296,03_18_2023 LG 282 copy.jpg
49,606,1070,48,40,0.85147464,03_18_2023 LG 282 copy.jpg
47,653,988,48,40,0.8747986,03_18_2023 LG 282 copy.jpg
46,677,946,48,40,0.8273786,03_18_2023 LG 282 copy.jpg
31,711,905,36,35,0.7733578,round_light.jpg
43,727,856,48,40,0.8627265,03_18_2023 LG 282 copy.jpg
42,753,815,48,40,0.87202185,03_18_2023 LG 282 copy.jpg
41,779,771,48,40,0.85768396,03_18_2023 LG 282 copy.jpg
40,808,729,48,40,0.8123493,03_18_2023 LG 282 copy.jpg
1,817,805,68,44,0.7706261,left_back_bent.jpg
27,850,690,36,35,0.8363335,round_light.jpg
0,858,726,68,44,0.7746758,left_back_bent.jpg
25,882,644,36,35,0.8227279,round_light.jpg
23,915,605,36,35,0.8378877,round_light.jpg
20,984,537,36,35,0.8353989,round_light.jpg
19,1016,506,36,35,0.7991994,round_light.jpg
17,1067,463,36,35,0.8003768,round_light.jpg
15,1111,431,36,35,0.91187346,round_light.jpg
14,1203,389,36,35,0.936539,round_light.jpg
12,1257,373,36,35,0.9189176,round_light.jpg
9,1306,370,36,35,0.91091585,round_light.jpg
10,1350,371,36,35,0.8534361,round_light.jpg
11,1398,371,36,35,0.9129948,round_light.jpg
7,1441,373,44,44,0.8298059,12_20_2022 LG 282 copy 2.jpg
13,1495,388,36,35,0.941935,round_light.jpg
16,1595,433,36,35,0.9431463,round_light.jpg
18,1651,473,36,35,0.79400635,round_light.jpg
21,1732,549,36,35,0.87588334,round_light.jpg
22,1769,586,36,35,0.88146454,round_light.jpg
24,1799,625,36,35,0.84739137,round_light.jpg
26,1828,665,36,35,0.82759625,round_light.jpg
28,1863,708,36,35,0.7503397,round_light.jpg
29,1889,755,36,35,0.8820986,round_light.jpg
30,1917,799,36,35,0.8589135,round_light.jpg
36,1923,1848,36,35,0.7763564,round_light.jpg
44,1957,882,48,40,0.9135921,03_18_2023 LG 282 copy.jpg
45,1976,919,48,40,0.89157355,03_18_2023 LG 282 copy.jpg
37,1983,1873,36,35,0.7995259,round_light.jpg
32,2003,965,36,35,0.83439016,round_light.jpg
48,2016,1002,48,40,0.8875877,03_18_2023 LG 282 copy.jpg
67,2038,1037,49,43,0.7882078,small_round.jpg
50,2058,1086,48,40,0.8823392,03_18_2023 LG 282 copy.jpg
68,2080,1128,49,43,0.86056674,small_round.jpg
33,2107,1175,36,35,0.80346805,round_light.jpg
69,2117,1211,49,43,0.835533,small_round.jpg
70,2136,1253,49,43,0.82779086,small_round.jpg
53,2150,1296,48,40,0.8365374,03_18_2023 LG 282 copy.jpg
55,2169,1337,48,40,0.817148,03_18_2023 LG 282 copy.jpg
56,2199,1410,48,40,0.8810479,03_18_2023 LG 282 copy.jpg
59,2217,1448,48,40,0.8214658,03_18_2023 LG 282 copy.jpg
60,2234,1485,48,40,0.8286058,03_18_2023 LG 282 copy.jpg
63,2258,1560,48,40,0.82097584,03_18_2023 LG 282 copy.jpg
35,2276,1603,36,35,0.79397964,round_light.jpg
72,2302,1664,49,43,0.8351632,small_round.jpg
65,2312,1705,48,40,0.8797574,03_18_2023 LG 282 copy.jpg
3,2319,1523,68,44,0.8556863,left_back_bent.jpg
66,2325,1741,48,40,0.84348404,03_18_2023 LG 282 copy.jpg
38,2456,1877,36,35,0.78316516,round_light.jpg
