,x,y,w,h,score,match
28,118,1834,36,35,0.7879857,round_light.jpg
56,127,1780,48,40,0.7912283,03_18_2023 LG 282 copy.jpg
54,143,1735,48,40,0.7516595,03_18_2023 LG 282 copy.jpg
52,175,1654,48,40,0.86177766,03_18_2023 LG 282 copy.jpg
11,248,1513,68,44,0.7722261,left_back_bent.jpg
46,284,1403,48,40,0.77382165,03_18_2023 LG 282 copy.jpg
43,314,1330,48,40,0.84810925,03_18_2023 LG 282 copy.jpg
15,319,1762,68,44,0.7758589,left_back_bent.jpg
14,346,1714,68,44,0.813984,left_back_bent.jpg
42,351,1257,48,40,0.8237373,03_18_2023 LG 282 copy.jpg
41,365,1220,48,40,0.83191526,03_18_2023 LG 282 copy.jpg
12,369,1666,68,44,0.8235804,left_back_bent.jpg
39,381,1182,48,40,0.8088443,03_18_2023 LG 282 copy.jpg
26,391,1433,36,35,0.766975,round_light.jpg
38,401,1145,48,40,0.75633156,03_18_2023 LG 282 copy.jpg
10,421,1494,68,44,0.805127,left_back_bent.jpg
37,422,1104,48,40,0.7929302,03_18_2023 LG 282 copy.jpg
6,463,1069,68,44,0.81312215,left_back_bent.jpg
9,486,1321,68,44,0.7976325,left_back_bent.jpg
35,504,940,48,40,0.8404436,03_18_2023 LG 282 copy.jpg
8,506,1273,68,44,0.7522257,left_back_bent.jpg
34,525,893,48,40,0.8106887,03_18_2023 LG 282 copy.jpg
33,546,850,48,40,0.7977479,03_18_2023 LG 282 copy.jpg
62,595,767,49,43,0.823622,small_round.jpg
5,602,996,68,44,0.7576137,left_back_bent.jpg
23,626,728,36,35,0.76082456,round_light.jpg
29,652,667,38,60,0.7935193,middle round.jpg
30,673,719,38,60,0.78968036,middle round.jpg
3,715,641,68,44,0.8472216,left_back_bent.jpg
2,754,595,68,44,0.7583679,left_back_bent.jpg
59,759,499,49,43,0.8046072,small_round.jpg
1,774,551,68,44,0.77311075,left_back_bent.jpg
22,828,427,36,35,0.7502676,round_light.jpg
17,859,384,44,44,0.77940047,12_20_2022 LG 282 copy 2.jpg
70,893,334,38,64,0.79195017,12_20_2022 LG 282 copy.jpg
0,916,484,68,44,0.78779477,left_back_bent.jpg
20,981,276,36,35,0.8588258,round_light.jpg
31,1012,242,48,40,0.8616235,03_18_2023 LG 282 copy.jpg
16,1108,193,53,48,0.8275649,top_left.jpg
58,1211,174,49,43,0.8566916,small_round.jpg
67,1308,165,38,64,0.9341271,12_20_2022 LG 282 copy.jpg
68,1400,179,38,64,0.919771,12_20_2022 LG 282 copy.jpg
69,1456,198,38,64,0.81829333,12_20_2022 LG 282 copy.jpg
19,1557,275,36,35,0.92129314,round_light.jpg
21,1607,311,36,35,0.8425506,round_light.jpg
18,1638,335,46,53,0.8504558,right_small_weird.jpg
32,1829,592,48,40,0.8735718,03_18_2023 LG 282 copy.jpg
60,1861,630,49,43,0.88311636,small_round.jpg
61,1909,714,49,43,0.88633704,small_round.jpg
63,1952,795,49,43,0.8705996,small_round.jpg
65,1961,1050,49,43,0.78037417,small_round.jpg
4,1975,845,68,44,0.75469583,left_back_bent.jpg
64,2019,923,49,43,0.79590374,small_round.jpg
36,2079,1047,48,40,0.8263993,03_18_2023 LG 282 copy.jpg
25,2104,1090,36,35,0.82426643,round_light.jpg
66,2141,1157,64,44,0.76193875,left_angled.jpg
40,2150,1200,48,40,0.82438236,03_18_2023 LG 282 copy.jpg
24,2163,1041,36,35,0.7674178,round_light.jpg
7,2178,1239,68,44,0.8072084,left_back_bent.jpg
44,2222,1346,48,40,0.9174988,03_18_2023 LG 282 copy.jpg
45,2235,1383,48,40,0.9270258,03_18_2023 LG 282 copy.jpg
47,2249,1419,48,40,0.92335784,03_18_2023 LG 282 copy.jpg
48,2267,1456,48,40,0.9402305,03_18_2023 LG 282 copy.jpg
49,2281,1492,48,40,0.9167088,03_18_2023 LG 282 copy.jpg
50,2314,1564,48,40,0.91264296,03_18_2023 LG 282 copy.jpg
51,2344,1637,48,40,0.9013669,03_18_2023 LG 282 copy.jpg
53,2376,1715,48,40,0.84109634,03_18_2023 LG 282 copy.jpg
55,2390,1753,48,40,0.8069328,03_18_2023 LG 282 copy.jpg
57,2429,1849,48,40,0.86536944,03_18_2023 LG 282 copy.jpg
13,2437,1706,68,44,0.80123997,left_back_bent.jpg
27,2483,1831,36,35,0.7674119,round_light.jpg
