,x,y,w,h,score,match
67,57,1833,38,64,0.7844805,12_20_2022 LG 282 copy.jpg
57,109,1695,49,43,0.7993717,small_round.jpg
56,121,1656,49,43,0.81460357,small_round.jpg
47,145,1587,48,40,0.82369834,03_18_2023 LG 282 copy.jpg
46,162,1551,48,40,0.8508099,03_18_2023 LG 282 copy.jpg
44,176,1515,48,40,0.8558274,03_18_2023 LG 282 copy.jpg
42,207,1445,48,40,0.8791478,03_18_2023 LG 282 copy.jpg
40,225,1409,48,40,0.8781664,03_18_2023 LG 282 copy.jpg
55,243,1370,49,43,0.80079514,small_round.jpg
38,271,1301,48,40,0.8271612,03_18_2023 LG 282 copy.jpg
35,321,1190,48,40,0.9181333,03_18_2023 LG 282 copy.jpg
33,340,1153,48,40,0.8866777,03_18_2023 LG 282 copy.jpg
31,381,1070,48,40,0.8619582,03_18_2023 LG 282 copy.jpg
54,424,989,49,43,0.785031,small_round.jpg
28,440,946,48,40,0.8418446,03_18_2023 LG 282 copy.jpg
26,484,862,48,40,0.8777942,03_18_2023 LG 282 copy.jpg
53,534,773,49,43,0.8037507,small_round.jpg
23,555,729,48,40,0.8148206,03_18_2023 LG 282 copy.jpg
52,608,642,49,43,0.7772939,small_round.jpg
20,657,554,48,40,0.79290533,03_18_2023 LG 282 copy.jpg
0,665,658,68,44,0.7502106,left_back_bent.jpg
66,698,498,38,64,0.83499587,12_20_2022 LG 282 copy.jpg
4,762,437,36,35,0.76805615,round_light.jpg
65,794,373,38,64,0.8147899,12_20_2022 LG 282 copy.jpg
64,863,310,38,64,0.8434796,12_20_2022 LG 282 copy.jpg
2,912,281,36,35,0.79946584,round_light.jpg
13,951,236,38,60,0.776611,middle round.jpg
62,1001,206,38,64,0.8818171,12_20_2022 LG 282 copy.jpg
12,1054,218,38,60,0.75039893,middle round.jpg
11,1096,179,38,60,0.89871883,middle round.jpg
59,1190,167,38,64,0.91282713,12_20_2022 LG 282 copy.jpg
1,1266,133,36,35,0.7720709,round_light.jpg
60,1281,172,38,64,0.93397105,12_20_2022 LG 282 copy.jpg
61,1381,201,38,64,0.8719312,12_20_2022 LG 282 copy.jpg
63,1427,224,38,64,0.79908323,12_20_2022 LG 282 copy.jpg
16,1427,1870,38,60,0.7586969,middle round.jpg
3,1534,316,36,35,0.847114,round_light.jpg
50,1567,340,49,43,0.8882717,small_round.jpg
5,1588,499,36,35,0.8335723,round_light.jpg
51,1599,376,49,43,0.8568355,small_round.jpg
17,1628,417,48,40,0.8821709,03_18_2023 LG 282 copy.jpg
18,1695,503,48,40,0.8868407,03_18_2023 LG 282 copy.jpg
6,1711,632,36,35,0.8783729,round_light.jpg
19,1726,548,48,40,0.88135856,03_18_2023 LG 282 copy.jpg
21,1782,633,48,40,0.9205827,03_18_2023 LG 282 copy.jpg
7,1823,679,36,35,0.8888882,round_light.jpg
22,1831,717,48,40,0.8920398,03_18_2023 LG 282 copy.jpg
24,1851,757,48,40,0.89362496,03_18_2023 LG 282 copy.jpg
25,1895,836,48,40,0.901209,03_18_2023 LG 282 copy.jpg
27,1918,880,48,40,0.845332,03_18_2023 LG 282 copy.jpg
8,1987,1010,36,35,0.80837756,round_light.jpg
29,2009,1048,48,40,0.90030193,03_18_2023 LG 282 copy.jpg
32,2023,1085,48,40,0.9260779,03_18_2023 LG 282 copy.jpg
34,2065,1157,48,40,0.8990493,03_18_2023 LG 282 copy.jpg
9,2085,1198,36,35,0.8236283,round_light.jpg
36,2101,1234,48,40,0.91981375,03_18_2023 LG 282 copy.jpg
37,2119,1272,48,40,0.827344,03_18_2023 LG 282 copy.jpg
30,2124,1062,48,40,0.782086,03_18_2023 LG 282 copy.jpg
10,2149,1895,36,35,0.78436375,round_light.jpg
39,2166,1378,48,40,0.9461665,03_18_2023 LG 282 copy.jpg
41,2180,1416,48,40,0.90391,03_18_2023 LG 282 copy.jpg
43,2211,1488,48,40,0.89591736,03_18_2023 LG 282 copy.jpg
45,2228,1524,48,40,0.88236666,03_18_2023 LG 282 copy.jpg
48,2258,1595,48,40,0.8481685,03_18_2023 LG 282 copy.jpg
15,2264,1865,38,60,0.8718611,middle round.jpg
49,2272,1635,48,40,0.8255604,03_18_2023 LG 282 copy.jpg
14,2306,1864,38,60,0.8479824,middle round.jpg
58,2315,1705,49,43,0.7926892,small_round.jpg
