,x,y,w,h,score,match
3,198,1879,68,44,0.7589411,left_back_bent.jpg
2,246,1738,68,44,0.76686263,left_back_bent.jpg
1,269,1662,68,44,0.825087,left_back_bent.jpg
0,297,1542,68,44,0.75820154,left_back_bent.jpg
51,379,1244,49,43,0.7909293,small_round.jpg
34,472,966,48,40,0.8014582,03_18_2023 LG 282 copy.jpg
50,557,783,49,43,0.83466613,small_round.jpg
49,583,731,49,43,0.81808025,small_round.jpg
48,607,684,49,43,0.80093366,small_round.jpg
29,660,599,48,40,0.8131563,03_18_2023 LG 282 copy.jpg
28,687,563,48,40,0.80738014,03_18_2023 LG 282 copy.jpg
26,766,476,48,40,0.77017945,03_18_2023 LG 282 copy.jpg
25,845,412,48,40,0.8824107,03_18_2023 LG 282 copy.jpg
24,889,385,48,40,0.8501533,03_18_2023 LG 282 copy.jpg
23,936,363,48,40,0.8909286,03_18_2023 LG 282 copy.jpg
5,999,358,36,35,0.8271219,round_light.jpg
21,1075,340,48,40,0.8806384,03_18_2023 LG 282 copy.jpg
54,1108,221,38,64,0.77760017,12_20_2022 LG 282 copy.jpg
22,1126,340,48,40,0.8582031,03_18_2023 LG 282 copy.jpg
4,1185,351,36,35,0.90696293,round_light.jpg
6,1244,365,36,35,0.9022915,round_light.jpg
7,1352,412,36,35,0.8353466,round_light.jpg
8,1405,448,36,35,0.863237,round_light.jpg
9,1450,481,36,35,0.8691612,round_light.jpg
27,1477,510,48,40,0.77765995,03_18_2023 LG 282 copy.jpg
10,1528,547,36,35,0.8491315,round_light.jpg
11,1564,582,36,35,0.881186,round_light.jpg
30,1590,618,48,40,0.8369378,03_18_2023 LG 282 copy.jpg
12,1671,702,36,35,0.88492477,round_light.jpg
31,1694,737,48,40,0.8924961,03_18_2023 LG 282 copy.jpg
32,1750,812,48,40,0.8387511,03_18_2023 LG 282 copy.jpg
13,1786,851,36,35,0.7528905,round_light.jpg
33,1830,921,48,40,0.7886215,03_18_2023 LG 282 copy.jpg
15,1873,1147,36,35,0.7891094,round_light.jpg
35,1888,1005,48,40,0.8400005,03_18_2023 LG 282 copy.jpg
36,1916,1044,48,40,0.79411167,03_18_2023 LG 282 copy.jpg
37,1965,1120,48,40,0.8161196,03_18_2023 LG 282 copy.jpg
16,1998,1160,36,35,0.8551134,round_light.jpg
38,2015,1196,48,40,0.80333596,03_18_2023 LG 282 copy.jpg
39,2037,1232,48,40,0.7743511,03_18_2023 LG 282 copy.jpg
14,2063,1137,36,35,0.7592614,round_light.jpg
40,2082,1299,48,40,0.80196196,03_18_2023 LG 282 copy.jpg
41,2144,1403,48,40,0.85369575,03_18_2023 LG 282 copy.jpg
42,2184,1472,48,40,0.91448003,03_18_2023 LG 282 copy.jpg
43,2222,1541,48,40,0.89779013,03_18_2023 LG 282 copy.jpg
17,2256,1573,36,35,0.88587373,round_light.jpg
18,2268,1613,36,35,0.92113805,round_light.jpg
44,2284,1642,48,40,0.9153811,03_18_2023 LG 282 copy.jpg
45,2325,1714,48,40,0.9100198,03_18_2023 LG 282 copy.jpg
46,2344,1754,48,40,0.92186105,03_18_2023 LG 282 copy.jpg
19,2352,1649,36,35,0.8519889,round_light.jpg
20,2375,1796,36,35,0.90218765,round_light.jpg
52,2403,1732,49,43,0.762488,small_round.jpg
47,2410,1884,48,40,0.76608396,03_18_2023 LG 282 copy.jpg
53,2536,1901,49,43,0.7640666,small_round.jpg
