,x,y,w,h,score,match
74,141,1894,48,40,0.79777926,03_18_2023 LG 282 copy.jpg
38,164,1836,53,48,0.78580874,top_left.jpg
37,196,1748,53,48,0.8696004,top_left.jpg
42,238,1835,36,35,0.75808203,round_light.jpg
36,240,1634,53,48,0.86034197,top_left.jpg
66,249,1393,48,40,0.766145,03_18_2023 LG 282 copy.jpg
41,274,1735,36,35,0.83236045,round_light.jpg
35,282,1525,53,48,0.86184037,top_left.jpg
39,300,1382,36,35,0.7677965,round_light.jpg
34,312,1454,53,48,0.8939415,top_left.jpg
31,340,1755,68,44,0.8205946,left_back_bent.jpg
30,370,1684,68,44,0.7614974,left_back_bent.jpg
33,377,1306,53,48,0.85396534,top_left.jpg
40,402,1518,36,35,0.7565283,round_light.jpg
32,426,1191,53,48,0.77688134,top_left.jpg
27,436,1340,68,44,0.75571215,left_back_bent.jpg
29,436,1501,68,44,0.7605657,left_back_bent.jpg
76,440,1146,49,43,0.8187302,small_round.jpg
26,445,1298,68,44,0.80380684,left_back_bent.jpg
28,451,1399,68,44,0.77033854,left_back_bent.jpg
23,476,1205,68,44,0.77474856,left_back_bent.jpg
75,504,1027,49,43,0.78777426,small_round.jpg
25,514,1269,68,44,0.7860816,left_back_bent.jpg
20,515,1140,68,44,0.8231631,left_back_bent.jpg
17,558,1028,68,44,0.76737636,left_back_bent.jpg
15,586,989,68,44,0.8469124,left_back_bent.jpg
11,624,901,68,44,0.7694772,left_back_bent.jpg
61,642,758,38,60,0.7938971,middle round.jpg
9,691,768,68,44,0.77355784,left_back_bent.jpg
60,714,627,38,60,0.8022412,middle round.jpg
8,744,683,68,44,0.75711244,left_back_bent.jpg
58,747,585,38,60,0.8125754,middle round.jpg
7,769,643,68,44,0.7967814,left_back_bent.jpg
6,797,598,68,44,0.79379153,left_back_bent.jpg
4,825,555,68,44,0.78788537,left_back_bent.jpg
57,838,454,38,60,0.76074404,middle round.jpg
3,856,513,68,44,0.8005397,left_back_bent.jpg
2,946,410,68,44,0.8284,left_back_bent.jpg
52,1032,275,38,60,0.8179823,middle round.jpg
54,1071,316,38,60,0.81026435,middle round.jpg
48,1077,250,38,60,0.8298209,middle round.jpg
49,1243,260,38,60,0.82221395,middle round.jpg
43,1263,180,38,60,0.82099444,middle round.jpg
51,1299,272,38,60,0.84109557,middle round.jpg
44,1305,203,38,60,0.78094065,middle round.jpg
50,1357,264,38,60,0.8275855,middle round.jpg
45,1397,219,38,60,0.8279155,middle round.jpg
46,1450,235,38,60,0.80958545,middle round.jpg
53,1476,300,38,60,0.85305595,middle round.jpg
47,1499,245,38,60,0.8033887,middle round.jpg
0,1639,198,68,44,0.8151956,left_back_bent.jpg
55,1649,362,38,60,0.75492007,middle round.jpg
56,1683,395,38,60,0.76948005,middle round.jpg
1,1691,278,68,44,0.8135713,left_back_bent.jpg
77,1782,510,38,64,0.7944909,12_20_2022 LG 282 copy.jpg
59,1852,595,38,60,0.76470965,middle round.jpg
78,1900,678,38,64,0.8160913,12_20_2022 LG 282 copy.jpg
79,1971,794,38,64,0.7720747,12_20_2022 LG 282 copy.jpg
5,2019,585,68,44,0.76587796,left_back_bent.jpg
80,2045,917,38,64,0.7540925,12_20_2022 LG 282 copy.jpg
13,2079,966,68,44,0.85412747,left_back_bent.jpg
62,2133,1086,48,40,0.83123845,03_18_2023 LG 282 copy.jpg
10,2148,801,68,44,0.76068205,left_back_bent.jpg
22,2175,1158,68,44,0.7869233,left_back_bent.jpg
14,2208,979,68,44,0.8466593,left_back_bent.jpg
16,2228,1027,68,44,0.79431283,left_back_bent.jpg
63,2232,1270,48,40,0.81083286,03_18_2023 LG 282 copy.jpg
21,2257,1150,68,44,0.7821003,left_back_bent.jpg
64,2265,1343,48,40,0.77838874,03_18_2023 LG 282 copy.jpg
65,2282,1380,48,40,0.76514006,03_18_2023 LG 282 copy.jpg
67,2315,1452,48,40,0.7586987,03_18_2023 LG 282 copy.jpg
24,2328,1260,68,44,0.81997836,left_back_bent.jpg
68,2363,1558,48,40,0.8210137,03_18_2023 LG 282 copy.jpg
69,2384,1595,48,40,0.80442923,03_18_2023 LG 282 copy.jpg
70,2402,1631,48,40,0.80752975,03_18_2023 LG 282 copy.jpg
71,2420,1667,48,40,0.7607363,03_18_2023 LG 282 copy.jpg
12,2427,927,68,44,0.75528663,left_back_bent.jpg
19,2430,1131,68,44,0.752978,left_back_bent.jpg
18,2433,1076,68,44,0.76094913,left_back_bent.jpg
72,2454,1748,48,40,0.7866094,03_18_2023 LG 282 copy.jpg
73,2473,1791,48,40,0.80845654,03_18_2023 LG 282 copy.jpg
