,x,y,w,h,score,match
98,153,1523,49,43,0.77609456,small_round.jpg
105,169,1771,38,64,0.8719511,12_20_2022 LG 282 copy.jpg
62,179,1862,38,60,0.7703042,middle round.jpg
101,198,1689,49,43,0.8493208,small_round.jpg
100,211,1649,49,43,0.8690158,small_round.jpg
82,212,1487,48,40,0.7897229,03_18_2023 LG 282 copy.jpg
99,240,1574,49,43,0.91632974,small_round.jpg
63,268,1866,38,60,0.83578444,middle round.jpg
97,268,1502,49,43,0.89019245,small_round.jpg
96,298,1434,49,43,0.8671963,small_round.jpg
23,310,1761,68,44,0.8613836,left_back_bent.jpg
95,314,1395,49,43,0.89861304,small_round.jpg
61,326,1846,38,60,0.8012946,middle round.jpg
40,333,1503,36,35,0.8193656,round_light.jpg
78,344,1304,48,40,0.8579718,03_18_2023 LG 282 copy.jpg
77,365,1268,48,40,0.9119596,03_18_2023 LG 282 copy.jpg
21,388,1555,68,44,0.7677296,left_back_bent.jpg
74,404,1175,48,40,0.92191255,03_18_2023 LG 282 copy.jpg
18,438,1249,68,44,0.786109,left_back_bent.jpg
17,454,1195,68,44,0.8980341,left_back_bent.jpg
39,495,1299,36,35,0.84164786,round_light.jpg
35,496,1000,36,35,0.8676848,round_light.jpg
73,513,919,48,40,0.8880391,03_18_2023 LG 282 copy.jpg
72,555,839,48,40,0.8357166,03_18_2023 LG 282 copy.jpg
19,562,1261,68,44,0.83940685,left_back_bent.jpg
34,590,795,36,35,0.85120285,round_light.jpg
70,599,743,48,40,0.88774395,03_18_2023 LG 282 copy.jpg
69,625,698,48,40,0.8646974,03_18_2023 LG 282 copy.jpg
9,655,745,68,44,0.80939806,left_back_bent.jpg
57,677,604,38,60,0.8687327,middle round.jpg
68,695,565,48,40,0.8715908,03_18_2023 LG 282 copy.jpg
25,722,610,53,48,0.83871746,top_left.jpg
33,731,738,36,35,0.8131563,round_light.jpg
15,757,929,68,44,0.8206064,left_back_bent.jpg
93,760,469,49,43,0.88940936,small_round.jpg
6,771,539,68,44,0.828081,left_back_bent.jpg
91,789,427,49,43,0.82967246,small_round.jpg
24,801,1889,68,44,0.76008517,left_back_bent.jpg
