,x,y,w,h,score,match
99,129,1843,38,64,0.7764752,12_20_2022 LG 282 copy.jpg
33,171,1722,53,48,0.8509956,top_left.jpg
32,190,1672,53,48,0.8952235,top_left.jpg
31,220,1593,53,48,0.86476564,top_left.jpg
30,250,1519,53,48,0.8809885,top_left.jpg
27,256,1361,53,48,0.830066,top_left.jpg
29,276,1456,53,48,0.8046676,top_left.jpg
21,282,1652,68,44,0.8298683,left_back_bent.jpg
28,294,1413,53,48,0.8982766,top_left.jpg
95,331,1344,64,44,0.7883684,left_angled.jpg
36,338,1732,36,35,0.80352646,round_light.jpg
26,360,1267,53,48,0.8402727,top_left.jpg
66,388,1196,48,40,0.7784311,03_18_2023 LG 282 copy.jpg
91,410,1157,49,43,0.7751937,small_round.jpg
90,426,1118,49,43,0.7763748,small_round.jpg
15,438,1215,68,44,0.7688915,left_back_bent.jpg
64,441,1078,48,40,0.76900667,03_18_2023 LG 282 copy.jpg
63,460,1037,48,40,0.8261245,03_18_2023 LG 282 copy.jpg
11,474,1126,68,44,0.8001404,left_back_bent.jpg
62,480,999,48,40,0.8197047,03_18_2023 LG 282 copy.jpg
9,513,1044,68,44,0.78742576,left_back_bent.jpg
61,520,913,48,40,0.81004584,03_18_2023 LG 282 copy.jpg
13,520,1172,68,44,0.7942717,left_back_bent.jpg
7,537,999,68,44,0.8039068,left_back_bent.jpg
60,542,872,48,40,0.7626278,03_18_2023 LG 282 copy.jpg
10,547,1107,68,44,0.757287,left_back_bent.jpg
6,572,925,68,44,0.80526805,left_back_bent.jpg
86,573,830,49,43,0.80682814,small_round.jpg
85,592,785,49,43,0.7542354,small_round.jpg
84,612,740,49,43,0.80722415,small_round.jpg
4,626,829,68,44,0.7637316,left_back_bent.jpg
59,658,655,48,40,0.7513145,03_18_2023 LG 282 copy.jpg
5,660,878,68,44,0.77308416,left_back_bent.jpg
82,690,614,49,43,0.7891092,small_round.jpg
2,707,730,68,44,0.7716773,left_back_bent.jpg
