,x,y,w,h,score,match
16,117,1850,68,44,0.7663217,left_back_bent.jpg
14,129,1803,68,44,0.8661194,left_back_bent.jpg
12,146,1760,68,44,0.8412546,left_back_bent.jpg
10,161,1715,68,44,0.86761695,left_back_bent.jpg
64,186,1635,48,40,0.8951647,03_18_2023 LG 282 copy.jpg
83,219,1562,49,43,0.92309266,small_round.jpg
60,245,1493,48,40,0.8679734,03_18_2023 LG 282 copy.jpg
9,247,1684,68,44,0.8238899,left_back_bent.jpg
11,251,1725,68,44,0.80051434,left_back_bent.jpg
15,259,1820,68,44,0.7639248,left_back_bent.jpg
13,268,1777,68,44,0.7664072,left_back_bent.jpg
8,280,1531,68,44,0.79458594,left_back_bent.jpg
57,289,1385,48,40,0.8818612,03_18_2023 LG 282 copy.jpg
82,311,1346,49,43,0.8718177,small_round.jpg
53,355,1237,48,40,0.86808205,03_18_2023 LG 282 copy.jpg
7,361,1412,68,44,0.7568632,left_back_bent.jpg
52,371,1199,48,40,0.89538485,03_18_2023 LG 282 copy.jpg
50,390,1162,48,40,0.88525516,03_18_2023 LG 282 copy.jpg
48,411,1121,48,40,0.90700936,03_18_2023 LG 282 copy.jpg
46,428,1078,48,40,0.8635159,03_18_2023 LG 282 copy.jpg
6,429,1197,68,44,0.84363157,left_back_bent.jpg
44,449,1039,48,40,0.8949753,03_18_2023 LG 282 copy.jpg
43,469,1000,48,40,0.88839644,03_18_2023 LG 282 copy.jpg
42,492,952,48,40,0.9097599,03_18_2023 LG 282 copy.jpg
41,513,913,48,40,0.8969935,03_18_2023 LG 282 copy.jpg
76,539,869,49,43,0.88323385,small_round.jpg
5,544,1005,68,44,0.758758,left_back_bent.jpg
40,556,827,48,40,0.87173337,03_18_2023 LG 282 copy.jpg
17,564,1900,68,44,0.75981176,left_back_bent.jpg
74,584,783,49,43,0.8703992,small_round.jpg
30,614,730,38,60,0.8558517,middle round.jpg
38,628,693,48,40,0.83560866,03_18_2023 LG 282 copy.jpg
3,668,660,68,44,0.832503,left_back_bent.jpg
4,669,724,68,44,0.79682314,left_back_bent.jpg
35,710,565,48,40,0.8512719,03_18_2023 LG 282 copy.jpg
29,751,510,38,60,0.8473033,middle round.jpg
33,772,473,48,40,0.85645044,03_18_2023 LG 282 copy.jpg
20,792,613,36,35,0.8176193,round_light.jpg
71,807,434,49,43,0.8746903,small_round.jpg
28,845,388,38,60,0.87342364,middle round.jpg
2,881,421,68,44,0.7653139,left_back_bent.jpg
69,909,331,49,43,0.8495023,small_round.jpg
1,916,380,68,44,0.7642684,left_back_bent.jpg
68,999,254,49,43,0.78068125,small_round.jpg
25,1049,222,38,60,0.86355317,middle round.jpg
27,1085,255,38,60,0.78853893,middle round.jpg
24,1094,201,38,60,0.90763545,middle round.jpg
26,1131,240,38,60,0.8402902,middle round.jpg
23,1145,187,38,60,0.8541801,middle round.jpg
31,1184,179,48,40,0.83382124,03_18_2023 LG 282 copy.jpg
67,1235,183,49,43,0.846111,small_round.jpg
84,1331,180,38,64,0.9346693,12_20_2022 LG 282 copy.jpg
85,1380,185,38,64,0.9253442,12_20_2022 LG 282 copy.jpg
86,1432,207,38,64,0.9018422,12_20_2022 LG 282 copy.jpg
18,1477,244,36,35,0.8333589,round_light.jpg
0,1542,275,68,44,0.85760444,left_back_bent.jpg
19,1590,322,36,35,0.91159254,round_light.jpg
70,1621,344,49,43,0.8733054,small_round.jpg
32,1689,419,48,40,0.8506857,03_18_2023 LG 282 copy.jpg
87,1729,446,38,64,0.8818528,12_20_2022 LG 282 copy.jpg
72,1761,496,49,43,0.84019053,small_round.jpg
34,1789,545,48,40,0.8799894,03_18_2023 LG 282 copy.jpg
36,1818,587,48,40,0.89532715,03_18_2023 LG 282 copy.jpg
37,1844,629,48,40,0.91399497,03_18_2023 LG 282 copy.jpg
73,1876,665,49,43,0.889317,small_round.jpg
39,1918,748,48,40,0.89915127,03_18_2023 LG 282 copy.jpg
21,1931,858,36,35,0.87271565,round_light.jpg
75,1966,825,49,43,0.87191284,small_round.jpg
77,1990,869,49,43,0.86849594,small_round.jpg
78,2016,912,49,43,0.8543666,small_round.jpg
79,2038,951,49,43,0.8296013,small_round.jpg
80,2058,992,49,43,0.89017636,small_round.jpg
81,2084,1029,49,43,0.88339835,small_round.jpg
45,2095,1075,48,40,0.89659643,03_18_2023 LG 282 copy.jpg
47,2116,1110,48,40,0.84670866,03_18_2023 LG 282 copy.jpg
49,2132,1149,48,40,0.88787985,03_18_2023 LG 282 copy.jpg
51,2153,1185,48,40,0.8699007,03_18_2023 LG 282 copy.jpg
54,2191,1259,48,40,0.914931,03_18_2023 LG 282 copy.jpg
55,2222,1331,48,40,0.88265574,03_18_2023 LG 282 copy.jpg
56,2240,1367,48,40,0.8584497,03_18_2023 LG 282 copy.jpg
58,2254,1404,48,40,0.87850535,03_18_2023 LG 282 copy.jpg
59,2273,1439,48,40,0.83193433,03_18_2023 LG 282 copy.jpg
61,2302,1509,48,40,0.9152013,03_18_2023 LG 282 copy.jpg
62,2335,1580,48,40,0.8750203,03_18_2023 LG 282 copy.jpg
63,2354,1615,48,40,0.8444262,03_18_2023 LG 282 copy.jpg
65,2370,1652,48,40,0.8812369,03_18_2023 LG 282 copy.jpg
66,2388,1690,48,40,0.83744055,03_18_2023 LG 282 copy.jpg
22,2413,1737,36,35,0.7670086,round_light.jpg
