,x,y,w,h,score,match
0,6,1893,53,48,0.76286143,top_left.jpg
33,110,1831,36,35,0.7844577,round_light.jpg
32,146,1749,36,35,0.8439999,round_light.jpg
30,178,1676,36,35,0.75299966,round_light.jpg
28,192,1643,36,35,0.769244,round_light.jpg
26,207,1609,36,35,0.78649527,round_light.jpg
23,241,1537,36,35,0.76422334,round_light.jpg
20,293,1431,36,35,0.80235386,round_light.jpg
15,384,1247,36,35,0.80912215,round_light.jpg
14,427,1166,36,35,0.7985005,round_light.jpg
54,486,1044,48,40,0.7858081,03_18_2023 LG 282 copy.jpg
11,517,1004,36,35,0.77103734,round_light.jpg
50,558,920,48,40,0.7739777,03_18_2023 LG 282 copy.jpg
49,582,877,48,40,0.8025912,03_18_2023 LG 282 copy.jpg
48,610,830,48,40,0.86400896,03_18_2023 LG 282 copy.jpg
47,636,789,48,40,0.8325234,03_18_2023 LG 282 copy.jpg
46,691,706,48,40,0.87010324,03_18_2023 LG 282 copy.jpg
45,722,664,48,40,0.8684112,03_18_2023 LG 282 copy.jpg
44,791,576,48,40,0.89002734,03_18_2023 LG 282 copy.jpg
43,825,538,48,40,0.8931577,03_18_2023 LG 282 copy.jpg
42,858,501,48,40,0.8683344,03_18_2023 LG 282 copy.jpg
41,895,472,48,40,0.8463714,03_18_2023 LG 282 copy.jpg
40,986,402,48,40,0.88880646,03_18_2023 LG 282 copy.jpg
39,1029,370,48,40,0.84702224,03_18_2023 LG 282 copy.jpg
37,1120,328,48,40,0.7954421,03_18_2023 LG 282 copy.jpg
36,1263,310,48,40,0.85733265,03_18_2023 LG 282 copy.jpg
57,1312,308,49,43,0.8572717,small_round.jpg
58,1408,324,49,43,0.86684006,small_round.jpg
59,1467,339,49,43,0.883057,small_round.jpg
38,1504,369,48,40,0.89722747,03_18_2023 LG 282 copy.jpg
1,1566,410,36,35,0.9204317,round_light.jpg
2,1658,484,36,35,0.8674544,round_light.jpg
3,1695,518,36,35,0.8667874,round_light.jpg
4,1730,557,36,35,0.8497669,round_light.jpg
5,1763,596,36,35,0.8792013,round_light.jpg
6,1798,637,36,35,0.9034965,round_light.jpg
7,1828,682,36,35,0.8156226,round_light.jpg
8,1859,724,36,35,0.87729126,round_light.jpg
9,1914,811,36,35,0.81717706,round_light.jpg
10,1935,846,36,35,0.8341944,round_light.jpg
51,1969,925,48,40,0.7811238,03_18_2023 LG 282 copy.jpg
52,1991,962,48,40,0.8022025,03_18_2023 LG 282 copy.jpg
53,2017,1007,48,40,0.79819316,03_18_2023 LG 282 copy.jpg
12,2053,1054,36,35,0.8149181,round_light.jpg
13,2074,1092,36,35,0.84494007,round_light.jpg
55,2082,1132,48,40,0.8153554,03_18_2023 LG 282 copy.jpg
56,2105,1174,48,40,0.8295903,03_18_2023 LG 282 copy.jpg
16,2155,1256,36,35,0.7628119,round_light.jpg
17,2187,1328,36,35,0.7672442,round_light.jpg
18,2210,1366,36,35,0.8046841,round_light.jpg
19,2228,1402,36,35,0.7901628,round_light.jpg
21,2243,1440,36,35,0.82385343,round_light.jpg
22,2275,1510,36,35,0.8026933,round_light.jpg
24,2290,1548,36,35,0.8196728,round_light.jpg
25,2304,1585,36,35,0.7820425,round_light.jpg
27,2320,1621,36,35,0.7587493,round_light.jpg
29,2336,1655,36,35,0.81322056,round_light.jpg
31,2350,1693,36,35,0.82118255,round_light.jpg
34,2413,1842,36,35,0.8189619,round_light.jpg
35,2431,1884,36,35,0.79894984,round_light.jpg
