,x,y,w,h,score
0,680,889,51,44,0.80199134
1,657,933,51,44,0.8170169
2,376,1502,51,44,0.9997061
3,1230,253,43,41,0.85711837
4,557,1139,43,41,0.99961376
5,535,1179,43,41,0.8707586
6,461,1342,43,41,0.95500004
7,1193,273,36,35,0.80641186
8,1147,295,36,35,0.89581746
9,1100,320,36,35,0.88957983
10,1059,356,36,35,0.81134665
11,745,814,36,35,0.84959966
12,626,1021,36,35,0.9366378
13,606,1059,36,35,0.93535554
14,512,1266,36,35,0.9997336
15,2256,1458,36,35,0.81668454
16,352,1595,36,35,0.9225994
17,272,1761,36,35,0.92596024
18,2363,1775,36,35,0.8021157
19,253,1803,36,35,0.9285198
20,2374,1831,36,35,0.8361851
21,235,1848,36,35,0.8360798
22,1875,1907,36,35,0.81385
23,1574,293,46,41,0.83046055
24,894,494,40,40,0.860837
25,726,759,40,40,0.82977587
26,677,846,40,40,0.8074914
27,2236,1488,40,40,0.84460217
28,2306,1755,40,40,0.81053877
29,978,411,44,45,0.9997618
30,945,448,44,45,0.87162715
31,887,537,43,38,0.8246689
32,642,979,43,38,0.9708346
33,582,1101,43,38,0.94422626
34,523,1225,43,38,0.92165047
35,442,1386,43,38,0.9189513
36,402,1467,43,38,0.9792246
37,363,1550,43,38,0.9429998
38,323,1632,43,38,0.95058376
39,306,1673,43,38,0.99970406
40,213,1893,43,38,0.90094846
41,2440,1904,43,38,0.8456235
