,x,y,w,h,score,match
6,81,1740,46,53,0.76315266,right_small_weird.jpg
19,132,1859,36,35,0.77119094,round_light.jpg
58,151,1672,49,43,0.8504854,small_round.jpg
44,173,1598,48,40,0.8255704,03_18_2023 LG 282 copy.jpg
57,219,1492,49,43,0.805143,small_round.jpg
43,231,1455,48,40,0.87209225,03_18_2023 LG 282 copy.jpg
42,245,1418,48,40,0.896034,03_18_2023 LG 282 copy.jpg
13,267,1385,36,35,0.8628525,round_light.jpg
41,272,1344,48,40,0.8886883,03_18_2023 LG 282 copy.jpg
40,296,1290,48,40,0.8979825,03_18_2023 LG 282 copy.jpg
12,341,1200,36,35,0.8661272,round_light.jpg
39,356,1146,48,40,0.8581438,03_18_2023 LG 282 copy.jpg
25,358,1833,38,60,0.77989703,middle round.jpg
56,443,941,49,43,0.893196,small_round.jpg
0,478,1053,68,44,0.7575426,left_back_bent.jpg
55,484,859,49,43,0.7885808,small_round.jpg
38,504,811,48,40,0.8635921,03_18_2023 LG 282 copy.jpg
37,523,765,48,40,0.80817366,03_18_2023 LG 282 copy.jpg
9,556,729,36,35,0.82751936,round_light.jpg
8,601,627,36,35,0.77401763,round_light.jpg
53,618,585,49,43,0.8611239,small_round.jpg
36,640,540,48,40,0.86136526,03_18_2023 LG 282 copy.jpg
7,681,498,36,35,0.83782125,round_light.jpg
35,701,449,48,40,0.9189946,03_18_2023 LG 282 copy.jpg
51,736,405,49,43,0.8757476,small_round.jpg
34,759,369,48,40,0.90230256,03_18_2023 LG 282 copy.jpg
33,790,334,48,40,0.8700242,03_18_2023 LG 282 copy.jpg
32,870,248,48,40,0.79102623,03_18_2023 LG 282 copy.jpg
31,912,217,48,40,0.8713245,03_18_2023 LG 282 copy.jpg
47,961,184,49,43,0.7894652,small_round.jpg
5,1005,155,46,53,0.8740885,right_small_weird.jpg
27,1099,129,48,40,0.7628236,03_18_2023 LG 282 copy.jpg
28,1149,135,48,40,0.9289319,03_18_2023 LG 282 copy.jpg
20,1207,123,38,60,0.9153776,middle round.jpg
21,1298,133,38,60,0.9129645,middle round.jpg
46,1350,153,49,43,0.88704413,small_round.jpg
29,1394,178,48,40,0.880711,03_18_2023 LG 282 copy.jpg
26,1410,1833,38,60,0.75109786,middle round.jpg
30,1448,207,48,40,0.8688695,03_18_2023 LG 282 copy.jpg
48,1544,279,49,43,0.83592683,small_round.jpg
49,1580,315,49,43,0.87268615,small_round.jpg
50,1615,353,49,43,0.8631976,small_round.jpg
61,1655,387,38,64,0.898404,12_20_2022 LG 282 copy.jpg
22,1691,430,38,60,0.8625587,middle round.jpg
52,1718,477,49,43,0.8719062,small_round.jpg
62,1754,516,38,64,0.89037174,12_20_2022 LG 282 copy.jpg
45,1788,1871,48,40,0.81137526,03_18_2023 LG 282 copy.jpg
54,1804,603,49,43,0.8198139,small_round.jpg
23,1833,641,38,60,0.8130978,middle round.jpg
63,1904,758,38,64,0.85401845,12_20_2022 LG 282 copy.jpg
4,1933,1864,68,44,0.7899778,left_back_bent.jpg
11,1971,1003,36,35,0.7535823,round_light.jpg
64,1973,885,38,64,0.83953506,12_20_2022 LG 282 copy.jpg
10,2026,979,36,35,0.8954152,round_light.jpg
65,2073,1070,38,64,0.8703768,12_20_2022 LG 282 copy.jpg
1,2129,1154,68,44,0.7595381,left_back_bent.jpg
2,2186,1264,68,44,0.7849741,left_back_bent.jpg
15,2226,1836,36,35,0.8189619,round_light.jpg
18,2265,1842,36,35,0.8068073,round_light.jpg
3,2277,1454,68,44,0.7962505,left_back_bent.jpg
24,2311,1538,38,60,0.77589226,middle round.jpg
17,2319,1840,36,35,0.8105715,round_light.jpg
16,2376,1838,36,35,0.8134591,round_light.jpg
59,2380,1704,49,43,0.7587274,small_round.jpg
60,2398,1756,49,43,0.752772,small_round.jpg
14,2499,1828,36,35,0.8337553,round_light.jpg
