,x,y,w,h,score,match
4,158,1767,53,48,0.7793561,top_left.jpg
2,222,1615,68,44,0.7798308,left_back_bent.jpg
60,245,1545,49,43,0.799824,small_round.jpg
59,260,1506,49,43,0.868859,small_round.jpg
58,277,1468,49,43,0.8889651,small_round.jpg
57,326,1359,49,43,0.8826611,small_round.jpg
35,359,1290,48,40,0.8954892,03_18_2023 LG 282 copy.jpg
34,377,1250,48,40,0.86645603,03_18_2023 LG 282 copy.jpg
32,391,1213,48,40,0.8945004,03_18_2023 LG 282 copy.jpg
31,409,1175,48,40,0.8944125,03_18_2023 LG 282 copy.jpg
29,448,1096,48,40,0.851935,03_18_2023 LG 282 copy.jpg
28,470,1055,48,40,0.8249307,03_18_2023 LG 282 copy.jpg
27,488,1014,48,40,0.8796542,03_18_2023 LG 282 copy.jpg
26,508,975,48,40,0.8813893,03_18_2023 LG 282 copy.jpg
25,530,930,48,40,0.8904954,03_18_2023 LG 282 copy.jpg
24,552,887,48,40,0.84644675,03_18_2023 LG 282 copy.jpg
52,579,843,49,43,0.8606717,small_round.jpg
23,622,759,48,40,0.88653386,03_18_2023 LG 282 copy.jpg
50,650,711,49,43,0.88541526,small_round.jpg
21,670,668,48,40,0.87011975,03_18_2023 LG 282 copy.jpg
20,724,582,48,40,0.8687945,03_18_2023 LG 282 copy.jpg
19,753,538,48,40,0.82925946,03_18_2023 LG 282 copy.jpg
0,778,581,68,44,0.76793367,left_back_bent.jpg
18,883,368,48,40,0.8098838,03_18_2023 LG 282 copy.jpg
17,951,303,48,40,0.807824,03_18_2023 LG 282 copy.jpg
12,1056,214,38,60,0.7998824,middle round.jpg
16,1091,198,48,40,0.79604954,03_18_2023 LG 282 copy.jpg
10,1198,158,38,60,0.90048015,middle round.jpg
8,1249,150,38,60,0.87420416,middle round.jpg
62,1333,144,38,64,0.77271277,12_20_2022 LG 282 copy.jpg
11,1353,202,38,60,0.8447252,middle round.jpg
9,1386,155,38,60,0.90244585,middle round.jpg
63,1439,151,38,64,0.80798256,12_20_2022 LG 282 copy.jpg
64,1493,178,38,64,0.8807828,12_20_2022 LG 282 copy.jpg
65,1537,204,38,64,0.8942947,12_20_2022 LG 282 copy.jpg
13,1549,316,38,60,0.8497105,middle round.jpg
45,1680,322,49,43,0.8492166,small_round.jpg
66,1717,356,38,64,0.8100042,12_20_2022 LG 282 copy.jpg
46,1749,402,49,43,0.8779952,small_round.jpg
5,1790,445,36,35,0.80156285,round_light.jpg
67,1816,479,38,64,0.8623085,12_20_2022 LG 282 copy.jpg
47,1844,529,49,43,0.8233846,small_round.jpg
48,1901,616,49,43,0.83240753,small_round.jpg
49,1927,659,49,43,0.81949276,small_round.jpg
22,1943,700,48,40,0.7868141,03_18_2023 LG 282 copy.jpg
51,1969,738,49,43,0.76566964,small_round.jpg
61,1999,782,64,44,0.81079656,left_angled.jpg
53,2061,905,49,43,0.8629781,small_round.jpg
14,2068,754,38,60,0.7797197,middle round.jpg
15,2105,988,38,60,0.8161252,middle round.jpg
54,2138,1074,49,43,0.85687613,small_round.jpg
30,2174,1152,48,40,0.86501837,03_18_2023 LG 282 copy.jpg
55,2194,1189,49,43,0.8163329,small_round.jpg
33,2210,1228,48,40,0.854345,03_18_2023 LG 282 copy.jpg
56,2232,1262,49,43,0.8373212,small_round.jpg
36,2245,1303,48,40,0.91714305,03_18_2023 LG 282 copy.jpg
37,2258,1339,48,40,0.8664568,03_18_2023 LG 282 copy.jpg
38,2291,1411,48,40,0.88217396,03_18_2023 LG 282 copy.jpg
39,2305,1448,48,40,0.90431273,03_18_2023 LG 282 copy.jpg
40,2336,1520,48,40,0.9358649,03_18_2023 LG 282 copy.jpg
7,2383,1849,36,35,0.8021365,round_light.jpg
6,2385,1502,36,35,0.84143156,round_light.jpg
41,2398,1668,48,40,0.8644932,03_18_2023 LG 282 copy.jpg
42,2415,1708,48,40,0.8508915,03_18_2023 LG 282 copy.jpg
43,2429,1750,48,40,0.7661268,03_18_2023 LG 282 copy.jpg
44,2447,1796,48,40,0.78568923,03_18_2023 LG 282 copy.jpg
1,2472,1579,68,44,0.77213985,left_back_bent.jpg
3,2489,1633,68,44,0.76862913,left_back_bent.jpg
