,x,y,w,h,score,match
10,115,1866,53,48,0.81212664,top_left.jpg
9,128,1822,53,48,0.86883,top_left.jpg
8,143,1778,53,48,0.8914822,top_left.jpg
63,157,1734,49,43,0.7715221,small_round.jpg
7,186,1663,53,48,0.8597983,top_left.jpg
62,211,1592,49,43,0.8464699,small_round.jpg
67,243,1529,64,44,0.76935536,left_angled.jpg
6,256,1481,53,48,0.9117533,top_left.jpg
66,292,1411,64,44,0.82862324,left_angled.jpg
61,317,1332,49,43,0.8497252,small_round.jpg
24,352,1260,38,60,0.8340771,middle round.jpg
4,369,1226,68,44,0.859554,left_back_bent.jpg
59,401,1135,49,43,0.80619234,small_round.jpg
57,421,1095,49,43,0.87180364,small_round.jpg
55,438,1054,49,43,0.8271753,small_round.jpg
3,464,1018,68,44,0.8385821,left_back_bent.jpg
53,501,923,49,43,0.7969874,small_round.jpg
37,537,838,48,40,0.8116009,03_18_2023 LG 282 copy.jpg
50,566,787,49,43,0.81687295,small_round.jpg
36,584,745,48,40,0.8104718,03_18_2023 LG 282 copy.jpg
2,609,993,68,44,0.75751793,left_back_bent.jpg
47,613,701,49,43,0.76664436,small_round.jpg
35,633,655,48,40,0.7775289,03_18_2023 LG 282 copy.jpg
0,658,910,68,44,0.75196606,left_back_bent.jpg
13,664,603,46,53,0.76248085,right_small_weird.jpg
34,694,567,48,40,0.7853791,03_18_2023 LG 282 copy.jpg
33,722,520,48,40,0.82078755,03_18_2023 LG 282 copy.jpg
32,782,440,48,40,0.80557764,03_18_2023 LG 282 copy.jpg
31,819,407,48,40,0.8841192,03_18_2023 LG 282 copy.jpg
30,853,375,48,40,0.8590554,03_18_2023 LG 282 copy.jpg
29,898,327,48,40,0.782444,03_18_2023 LG 282 copy.jpg
28,981,267,48,40,0.78067684,03_18_2023 LG 282 copy.jpg
27,1031,245,48,40,0.8235426,03_18_2023 LG 282 copy.jpg
23,1089,220,38,60,0.78497714,middle round.jpg
16,1142,226,36,35,0.81245285,round_light.jpg
15,1184,219,36,35,0.81022805,round_light.jpg
26,1226,218,48,40,0.84983194,03_18_2023 LG 282 copy.jpg
22,1280,212,38,60,0.86606264,middle round.jpg
11,1328,232,44,44,0.8050129,12_20_2022 LG 282 copy 2.jpg
68,1388,233,38,64,0.86257637,12_20_2022 LG 282 copy.jpg
17,1495,308,36,35,0.8681289,round_light.jpg
18,1545,347,36,35,0.83840305,round_light.jpg
19,1583,380,36,35,0.86223173,round_light.jpg
42,1615,404,49,43,0.76149154,small_round.jpg
43,1650,440,49,43,0.8673838,small_round.jpg
12,1682,476,46,53,0.8604784,right_small_weird.jpg
44,1719,522,49,43,0.77808225,small_round.jpg
20,1758,567,36,35,0.80025643,round_light.jpg
45,1781,610,49,43,0.8280738,small_round.jpg
46,1808,651,49,43,0.8693272,small_round.jpg
21,1811,1219,36,35,0.80616164,round_light.jpg
48,1859,732,49,43,0.8223497,small_round.jpg
49,1882,771,49,43,0.82237685,small_round.jpg
14,1885,170,36,35,0.76970756,round_light.jpg
51,1905,812,49,43,0.8396082,small_round.jpg
52,1929,850,49,43,0.81872535,small_round.jpg
69,1954,886,38,64,0.8232038,12_20_2022 LG 282 copy.jpg
1,2005,977,68,44,0.7828043,left_back_bent.jpg
54,2023,1018,49,43,0.77607685,small_round.jpg
56,2043,1059,49,43,0.79833263,small_round.jpg
58,2063,1099,49,43,0.80676186,small_round.jpg
65,2091,1138,64,44,0.7595244,left_angled.jpg
38,2119,1215,48,40,0.83774906,03_18_2023 LG 282 copy.jpg
60,2143,1249,49,43,0.79234904,small_round.jpg
39,2177,1323,48,40,0.81600636,03_18_2023 LG 282 copy.jpg
25,2238,1427,38,60,0.76065546,middle round.jpg
40,2342,1685,48,40,0.80846107,03_18_2023 LG 282 copy.jpg
64,2386,1761,49,43,0.76549953,small_round.jpg
41,2407,1853,48,40,0.75861365,03_18_2023 LG 282 copy.jpg
5,2451,1891,68,44,0.79886943,left_back_bent.jpg
