,x,y,w,h,score,match
69,140,1880,38,64,0.7971778,12_20_2022 LG 282 copy.jpg
51,153,1834,48,40,0.79686266,03_18_2023 LG 282 copy.jpg
49,170,1789,48,40,0.86018646,03_18_2023 LG 282 copy.jpg
65,189,1745,49,43,0.8387647,small_round.jpg
64,219,1669,49,43,0.9003242,small_round.jpg
63,249,1600,49,43,0.898011,small_round.jpg
43,276,1531,48,40,0.855189,03_18_2023 LG 282 copy.jpg
41,292,1495,48,40,0.8651303,03_18_2023 LG 282 copy.jpg
39,308,1459,48,40,0.8932282,03_18_2023 LG 282 copy.jpg
37,325,1423,48,40,0.88639396,03_18_2023 LG 282 copy.jpg
35,341,1386,48,40,0.9022972,03_18_2023 LG 282 copy.jpg
33,360,1349,48,40,0.8876863,03_18_2023 LG 282 copy.jpg
31,393,1275,48,40,0.87437165,03_18_2023 LG 282 copy.jpg
29,411,1237,48,40,0.85983884,03_18_2023 LG 282 copy.jpg
28,429,1199,48,40,0.89254016,03_18_2023 LG 282 copy.jpg
26,450,1159,48,40,0.8595116,03_18_2023 LG 282 copy.jpg
24,471,1118,48,40,0.85145026,03_18_2023 LG 282 copy.jpg
23,491,1079,48,40,0.8872731,03_18_2023 LG 282 copy.jpg
22,510,1038,48,40,0.8363398,03_18_2023 LG 282 copy.jpg
21,533,993,48,40,0.8222972,03_18_2023 LG 282 copy.jpg
20,554,951,48,40,0.84376436,03_18_2023 LG 282 copy.jpg
19,579,908,48,40,0.85431594,03_18_2023 LG 282 copy.jpg
18,624,823,48,40,0.82745475,03_18_2023 LG 282 copy.jpg
16,649,778,48,40,0.86470866,03_18_2023 LG 282 copy.jpg
15,674,733,48,40,0.84977424,03_18_2023 LG 282 copy.jpg
14,699,692,48,40,0.8562083,03_18_2023 LG 282 copy.jpg
13,756,603,48,40,0.827929,03_18_2023 LG 282 copy.jpg
12,820,511,48,40,0.8373134,03_18_2023 LG 282 copy.jpg
55,854,472,49,43,0.80446696,small_round.jpg
54,886,435,49,43,0.79046124,small_round.jpg
9,953,371,48,40,0.8385453,03_18_2023 LG 282 copy.jpg
8,1139,248,48,40,0.82912976,03_18_2023 LG 282 copy.jpg
6,1182,284,38,60,0.8168786,middle round.jpg
7,1191,234,48,40,0.84371436,03_18_2023 LG 282 copy.jpg
0,1291,233,44,44,0.8289591,12_20_2022 LG 282 copy 2.jpg
66,1385,228,38,64,0.8089626,12_20_2022 LG 282 copy.jpg
67,1436,237,38,64,0.8542638,12_20_2022 LG 282 copy.jpg
1,1465,308,36,35,0.78331727,round_light.jpg
53,1486,265,49,43,0.8288717,small_round.jpg
68,1537,279,38,64,0.87204015,12_20_2022 LG 282 copy.jpg
2,1604,330,36,35,0.89896876,round_light.jpg
3,1638,493,36,35,0.846332,round_light.jpg
10,1674,406,48,40,0.8753284,03_18_2023 LG 282 copy.jpg
11,1743,481,48,40,0.865195,03_18_2023 LG 282 copy.jpg
56,1777,518,49,43,0.8079526,small_round.jpg
57,1840,605,49,43,0.83708096,small_round.jpg
58,1870,648,49,43,0.8639192,small_round.jpg
4,1920,748,36,35,0.75458807,round_light.jpg
17,1960,818,48,40,0.8899371,03_18_2023 LG 282 copy.jpg
59,1985,856,49,43,0.82780355,small_round.jpg
60,2075,1028,49,43,0.8306647,small_round.jpg
61,2096,1067,49,43,0.8445311,small_round.jpg
62,2115,1110,49,43,0.77739006,small_round.jpg
25,2132,1153,48,40,0.87882936,03_18_2023 LG 282 copy.jpg
27,2153,1193,48,40,0.81739634,03_18_2023 LG 282 copy.jpg
30,2187,1267,48,40,0.889909,03_18_2023 LG 282 copy.jpg
32,2225,1341,48,40,0.9246491,03_18_2023 LG 282 copy.jpg
34,2241,1378,48,40,0.93529534,03_18_2023 LG 282 copy.jpg
36,2254,1414,48,40,0.90597963,03_18_2023 LG 282 copy.jpg
38,2272,1450,48,40,0.9108293,03_18_2023 LG 282 copy.jpg
40,2287,1487,48,40,0.8916273,03_18_2023 LG 282 copy.jpg
42,2303,1525,48,40,0.9366273,03_18_2023 LG 282 copy.jpg
44,2334,1596,48,40,0.953112,03_18_2023 LG 282 copy.jpg
45,2365,1668,48,40,0.941799,03_18_2023 LG 282 copy.jpg
46,2381,1708,48,40,0.92532635,03_18_2023 LG 282 copy.jpg
5,2385,1904,36,35,0.90894514,round_light.jpg
47,2397,1744,48,40,0.8670033,03_18_2023 LG 282 copy.jpg
48,2413,1784,48,40,0.89179146,03_18_2023 LG 282 copy.jpg
50,2428,1826,48,40,0.7910812,03_18_2023 LG 282 copy.jpg
52,2447,1869,48,40,0.8528414,03_18_2023 LG 282 copy.jpg
