,x,y,w,h,score,match
28,89,1825,36,35,0.7670597,round_light.jpg
85,121,1723,38,64,0.8556494,12_20_2022 LG 282 copy.jpg
22,164,1611,53,48,0.83401674,top_left.jpg
21,193,1870,68,44,0.8320961,left_back_bent.jpg
17,196,1550,68,44,0.8113946,left_back_bent.jpg
20,200,1814,68,44,0.78232604,left_back_bent.jpg
15,210,1508,68,44,0.850225,left_back_bent.jpg
79,220,1467,49,43,0.8597491,small_round.jpg
78,250,1395,49,43,0.826874,small_round.jpg
48,262,1359,48,40,0.82971156,03_18_2023 LG 282 copy.jpg
47,278,1321,48,40,0.81605536,03_18_2023 LG 282 copy.jpg
45,296,1283,48,40,0.8208136,03_18_2023 LG 282 copy.jpg
44,312,1246,48,40,0.87842554,03_18_2023 LG 282 copy.jpg
42,327,1209,48,40,0.90980643,03_18_2023 LG 282 copy.jpg
40,345,1168,48,40,0.87471026,03_18_2023 LG 282 copy.jpg
77,369,1123,49,43,0.8671845,small_round.jpg
76,387,1083,49,43,0.8531932,small_round.jpg
75,425,1004,49,43,0.8232085,small_round.jpg
74,447,959,49,43,0.79704213,small_round.jpg
73,468,915,49,43,0.8067692,small_round.jpg
72,489,872,49,43,0.8413321,small_round.jpg
8,490,990,68,44,0.8106044,left_back_bent.jpg
71,510,829,49,43,0.8361098,small_round.jpg
70,532,782,49,43,0.85301596,small_round.jpg
69,555,734,49,43,0.8621826,small_round.jpg
6,574,830,68,44,0.7523502,left_back_bent.jpg
38,609,644,38,60,0.8518629,middle round.jpg
67,629,605,49,43,0.7533459,small_round.jpg
65,657,559,49,43,0.80811065,small_round.jpg
37,694,509,38,60,0.8757942,middle round.jpg
62,718,468,49,43,0.7710421,small_round.jpg
27,733,516,36,35,0.8297254,round_light.jpg
2,781,557,68,44,0.76169574,left_back_bent.jpg
36,785,380,38,60,0.87439406,middle round.jpg
1,818,505,68,44,0.8071274,left_back_bent.jpg
35,854,315,38,60,0.8822292,middle round.jpg
59,935,242,49,43,0.8459268,small_round.jpg
33,983,209,38,60,0.8136735,middle round.jpg
32,1084,174,38,60,0.8658469,middle round.jpg
34,1096,232,38,60,0.7898761,middle round.jpg
30,1135,162,38,60,0.85342425,middle round.jpg
29,1181,160,38,60,0.90889484,middle round.jpg
82,1224,156,38,64,0.91289735,12_20_2022 LG 282 copy.jpg
31,1272,167,38,60,0.8017256,middle round.jpg
83,1378,186,38,64,0.89780927,12_20_2022 LG 282 copy.jpg
84,1425,208,38,64,0.8773917,12_20_2022 LG 282 copy.jpg
25,1486,259,36,35,0.8528538,round_light.jpg
23,1528,288,46,53,0.8690769,right_small_weird.jpg
26,1574,325,36,35,0.90897506,round_light.jpg
60,1607,359,49,43,0.83945674,small_round.jpg
61,1640,397,49,43,0.8625008,small_round.jpg
63,1710,478,49,43,0.8598419,small_round.jpg
64,1739,522,49,43,0.84964895,small_round.jpg
66,1771,566,49,43,0.830941,small_round.jpg
68,1798,608,49,43,0.85283715,small_round.jpg
0,1802,428,68,44,0.7703879,left_back_bent.jpg
80,1875,732,64,44,0.8600357,left_angled.jpg
24,1917,802,46,53,0.8131743,right_small_weird.jpg
81,1946,854,64,44,0.8691348,left_angled.jpg
3,2002,665,68,44,0.8153396,left_back_bent.jpg
7,2015,977,68,44,0.8478411,left_back_bent.jpg
4,2024,706,68,44,0.78947455,left_back_bent.jpg
5,2034,751,68,44,0.75405383,left_back_bent.jpg
10,2057,1064,68,44,0.880276,left_back_bent.jpg
39,2091,1135,48,40,0.89052266,03_18_2023 LG 282 copy.jpg
41,2111,1170,48,40,0.80954176,03_18_2023 LG 282 copy.jpg
43,2152,1243,48,40,0.86747694,03_18_2023 LG 282 copy.jpg
46,2185,1316,48,40,0.8831046,03_18_2023 LG 282 copy.jpg
9,2207,1042,68,44,0.81437844,left_back_bent.jpg
49,2219,1388,48,40,0.87252563,03_18_2023 LG 282 copy.jpg
50,2236,1424,48,40,0.84449214,03_18_2023 LG 282 copy.jpg
51,2252,1461,48,40,0.8661714,03_18_2023 LG 282 copy.jpg
11,2276,1230,68,44,0.80683136,left_back_bent.jpg
12,2280,1273,68,44,0.781945,left_back_bent.jpg
52,2286,1531,48,40,0.8364805,03_18_2023 LG 282 copy.jpg
13,2291,1323,68,44,0.7799018,left_back_bent.jpg
53,2304,1567,48,40,0.8249232,03_18_2023 LG 282 copy.jpg
54,2338,1642,48,40,0.8829514,03_18_2023 LG 282 copy.jpg
14,2349,1409,68,44,0.8754945,left_back_bent.jpg
55,2356,1682,48,40,0.8050132,03_18_2023 LG 282 copy.jpg
56,2375,1722,48,40,0.86581403,03_18_2023 LG 282 copy.jpg
57,2394,1764,48,40,0.8274146,03_18_2023 LG 282 copy.jpg
16,2403,1519,68,44,0.7887623,left_back_bent.jpg
58,2415,1816,48,40,0.8050074,03_18_2023 LG 282 copy.jpg
18,2419,1620,68,44,0.7669823,left_back_bent.jpg
19,2459,1689,68,44,0.7737194,left_back_bent.jpg
