,x,y,w,h,score,match
69,94,1822,38,64,0.8094874,12_20_2022 LG 282 copy.jpg
68,111,1766,38,64,0.82837075,12_20_2022 LG 282 copy.jpg
61,123,1730,49,43,0.89341325,small_round.jpg
60,150,1649,49,43,0.91722643,small_round.jpg
59,180,1573,49,43,0.8399128,small_round.jpg
1,212,1510,68,44,0.7835567,left_back_bent.jpg
57,237,1431,49,43,0.9022164,small_round.jpg
34,250,1395,48,40,0.92136306,03_18_2023 LG 282 copy.jpg
31,303,1268,48,40,0.9332515,03_18_2023 LG 282 copy.jpg
29,342,1176,48,40,0.82798266,03_18_2023 LG 282 copy.jpg
11,372,1128,36,35,0.8170011,round_light.jpg
41,385,1892,48,40,0.8183956,03_18_2023 LG 282 copy.jpg
52,455,920,49,43,0.905642,small_round.jpg
51,497,839,49,43,0.8492604,small_round.jpg
28,518,791,48,40,0.82164025,03_18_2023 LG 282 copy.jpg
50,565,699,49,43,0.89933723,small_round.jpg
27,602,613,48,40,0.88693804,03_18_2023 LG 282 copy.jpg
15,615,1880,36,35,0.7674427,round_light.jpg
26,631,568,48,40,0.8877988,03_18_2023 LG 282 copy.jpg
49,695,473,49,43,0.86570054,small_round.jpg
48,723,430,49,43,0.84943855,small_round.jpg
16,730,1890,36,35,0.7543351,round_light.jpg
46,783,351,49,43,0.83483493,small_round.jpg
7,819,322,36,35,0.86037743,round_light.jpg
6,905,235,36,35,0.8088535,round_light.jpg
5,942,207,36,35,0.7724223,round_light.jpg
24,962,1860,38,60,0.7836252,middle round.jpg
43,986,168,49,43,0.85113,small_round.jpg
20,1036,143,38,60,0.8169287,middle round.jpg
19,1085,118,38,60,0.89207554,middle round.jpg
23,1117,1854,38,60,0.7544196,middle round.jpg
18,1135,114,38,60,0.9065575,middle round.jpg
13,1205,1876,36,35,0.89162683,round_light.jpg
62,1229,106,38,64,0.9278111,12_20_2022 LG 282 copy.jpg
17,1277,105,38,60,0.8861447,middle round.jpg
63,1324,117,38,64,0.83570945,12_20_2022 LG 282 copy.jpg
64,1378,135,38,64,0.9253568,12_20_2022 LG 282 copy.jpg
42,1423,165,49,43,0.88989156,small_round.jpg
21,1459,1834,38,60,0.7508871,middle round.jpg
4,1483,203,36,35,0.8800128,round_light.jpg
44,1531,235,49,43,0.86654866,small_round.jpg
45,1605,309,49,43,0.87846756,small_round.jpg
47,1710,428,49,43,0.8704157,small_round.jpg
2,1741,1823,68,44,0.7696587,left_back_bent.jpg
25,1796,561,48,40,0.8706097,03_18_2023 LG 282 copy.jpg
8,1835,604,36,35,0.9156245,round_light.jpg
65,1855,630,38,64,0.81649226,12_20_2022 LG 282 copy.jpg
9,1892,688,36,35,0.8953519,round_light.jpg
0,1915,608,68,44,0.75415224,left_back_bent.jpg
22,1916,1853,38,60,0.82205033,middle round.jpg
66,1928,753,38,64,0.88497347,12_20_2022 LG 282 copy.jpg
10,1972,850,36,35,0.85994935,round_light.jpg
67,1995,883,38,64,0.80467343,12_20_2022 LG 282 copy.jpg
53,2057,1000,49,43,0.8372222,small_round.jpg
3,2096,1066,53,48,0.79056007,top_left.jpg
54,2140,1149,49,43,0.8259879,small_round.jpg
12,2163,1847,36,35,0.7930106,round_light.jpg
55,2174,1219,49,43,0.8100873,small_round.jpg
30,2189,1258,48,40,0.8498315,03_18_2023 LG 282 copy.jpg
32,2205,1294,48,40,0.8068302,03_18_2023 LG 282 copy.jpg
33,2222,1331,48,40,0.8159299,03_18_2023 LG 282 copy.jpg
56,2259,1401,49,43,0.8724745,small_round.jpg
58,2294,1467,49,43,0.82125896,small_round.jpg
35,2324,1544,48,40,0.8818425,03_18_2023 LG 282 copy.jpg
36,2340,1580,48,40,0.88885295,03_18_2023 LG 282 copy.jpg
14,2345,1877,36,35,0.792706,round_light.jpg
37,2358,1616,48,40,0.8190781,03_18_2023 LG 282 copy.jpg
38,2375,1659,48,40,0.78696114,03_18_2023 LG 282 copy.jpg
39,2395,1700,48,40,0.8363963,03_18_2023 LG 282 copy.jpg
40,2413,1752,48,40,0.76265013,03_18_2023 LG 282 copy.jpg
